PI255A,MP-1101,T_wbulb,TI401,PI215,TI203,FT402,PI218,TI405,PI216,SSC_gros
0.149658203,57.05666733,16.35271454,27.80761719,8.9140625,180.3597717,7431.736816,9.09375,51.29394531,8.877929688,8.097870827
0.148376465,56.96311188,16.24454308,27.63671875,8.881835938,180.4816437,7362.84082,9.065429688,51.17797852,8.850585938,8.068487167
0.15020752,57.24377441,16.13844299,27.78320313,8.923828125,180.3597717,6879.880859,9.096679688,51.23901367,8.884765625,8.034687996
0.149597168,57.18530273,16.23255157,27.79541016,8.931640625,180.3292999,7206.157715,9.090820313,51.33056641,8.893554688,8.036982536
0.149414063,57.1969986,16.13125992,27.78320313,8.920898438,180.3292999,7182.40332,9.096679688,51.31225586,8.887695313,8.032251358
0.149658203,57.1969986,16.16640472,27.734375,8.928710938,180.3292999,7300.821777,9.088867188,51.23291016,8.891601563,8.048653603
0.149780273,57.26716614,16.16205215,27.80761719,8.932617188,180.2683563,7277.376465,9.115234375,51.2878418,8.895507813,8.040942192
0.134399414,52.94026184,16.30567932,27.44750977,8.044921875,180.542572,7245.856934,8.32421875,49.26147461,8.080078125,8.661932945
0.136535645,53.02212143,16.37501144,27.55737305,8.073242188,180.4816437,6975.910645,8.344726563,49.35913086,8.090820313,8.662701607
0.150817871,57.11513901,16.69640732,28.03344727,8.907226563,180.3597717,7157.716797,9.0859375,51.45263672,8.870117188,8.030155182
0.149047852,56.96311188,16.06500626,27.78930664,8.900390625,180.3292999,7150.891602,9.0625,51.22070313,8.865234375,8.034171104
0.149902344,57.11513901,16.62813568,27.91748047,8.91015625,180.2683563,7250.067383,9.0859375,51.32446289,8.872070313,8.047997475
0.150695801,57.13852692,16.24025917,27.91137695,8.91796875,180.2988281,6986.838867,9.083984375,51.40991211,8.879882813,8.035611153
0.148864746,56.48364258,16.3841095,27.92358398,8.80078125,180.3292999,7170.070801,8.990234375,51.23901367,8.772460938,8.147153854
0.148498535,56.49533844,16.29057884,27.86865234,8.794921875,180.4207001,6951.808105,8.991210938,51.15356445,8.765625,8.144137383
0.148498535,56.64736557,16.44926453,27.91137695,8.806640625,180.4207001,7031.25,9.002929688,51.20849609,8.778320313,8.099085808
0.149047852,56.44856262,16.36889648,27.95410156,8.796875,180.4207001,7022.129395,9,51.32446289,8.762695313,8.117611885
0.147766113,56.56550598,16.11364174,27.74047852,8.79296875,180.4207001,7046.85791,8.983398438,51.00097656,8.760742188,8.102285385
0.146240234,56.63566971,16.04815674,27.6184082,8.7890625,180.4511719,7214.622559,8.9609375,50.84838867,8.754882813,8.110588074
0.146240234,56.6122818,16.08405685,27.63061523,8.783203125,180.3902283,7206.581543,8.969726563,50.84228516,8.75,8.14799881
0.14630127,56.48364258,15.95622253,27.60009766,8.779296875,180.4511719,6859.446289,8.959960938,50.83618164,8.748046875,8.114476204
0.145812988,56.41347885,15.87082481,27.5390625,8.768554688,180.4511719,7199.802734,8.947265625,50.73852539,8.73828125,8.170226097
0.144714355,56.27314758,15.77471924,27.42919922,8.767578125,180.4816437,7077.538574,8.98046875,50.57983398,8.737304688,8.178901672
0.143493652,56.43686676,15.58961201,27.36816406,8.744140625,180.4816437,7017.347168,8.954101563,50.5065918,8.715820313,8.155715942
0.144104004,56.49533844,15.5200901,27.35595703,8.762695313,180.4664001,7261.42334,8.984375,50.46386719,8.732421875,8.123716354
0.144042969,56.43686676,15.46358681,27.33154297,8.75,180.4511719,6930.70459,8.944335938,50.45166016,8.719726563,8.15066433
0.144348145,56.43686676,15.73824883,27.38647461,8.759765625,180.4054718,7087.018555,8.951171875,50.49438477,8.731445313,8.135958672
0.143005371,56.53042221,15.94306755,27.23388672,8.747070313,180.4359436,7045.991699,8.93359375,50.38452148,8.717773438,8.145277977
0.143615723,56.48364258,15.38482285,27.25219727,8.748046875,180.4664001,7326.692383,8.944335938,50.39672852,8.719726563,8.117902756
0.142089844,56.39009094,15.35589409,27.08740234,8.732421875,180.5273438,7153.878418,8.939453125,50.20751953,8.704101563,8.140564919
0.144287109,56.55381012,15.57309532,27.33764648,8.767578125,180.4968719,7247.541504,8.967773438,50.47607422,8.740234375,8.152934074
0.145263672,56.43686676,15.8673687,27.50244141,8.776367188,180.4359436,7424.75293,8.966796875,50.6652832,8.745117188,8.139299393
0.147949219,58.81081772,15.92633152,27.5390625,9.194335938,180.6035156,7305.418457,9.348632813,50.75073242,9.1328125,7.854168892
