TI203,PI215,PI216,PI218,MP-1101,PI255A,TI405,TI401,FT402,T_wbulb,SSC_gros
180.3597717,8.9140625,8.877929688,9.09375,57.05666733,0.149658203,51.29394531,27.80761719,7431.736816,16.35271454,8.097870827
180.4816437,8.881835938,8.850585938,9.065429688,56.96311188,0.148376465,51.17797852,27.63671875,7362.84082,16.24454308,8.068487167
180.3597717,8.923828125,8.884765625,9.096679688,57.24377441,0.15020752,51.23901367,27.78320313,6879.880859,16.13844299,8.034687996
180.3292999,8.931640625,8.893554688,9.090820313,57.18530273,0.149597168,51.33056641,27.79541016,7206.157715,16.23255157,8.036982536
180.3292999,8.920898438,8.887695313,9.096679688,57.1969986,0.149414063,51.31225586,27.78320313,7182.40332,16.13125992,8.032251358
180.3292999,8.928710938,8.891601563,9.088867188,57.1969986,0.149658203,51.23291016,27.734375,7300.821777,16.16640472,8.048653603
180.2683563,8.932617188,8.895507813,9.115234375,57.26716614,0.149780273,51.2878418,27.80761719,7277.376465,16.16205215,8.040942192
180.542572,8.044921875,8.080078125,8.32421875,52.94026184,0.134399414,49.26147461,27.44750977,7245.856934,16.30567932,8.661932945
180.4816437,8.073242188,8.090820313,8.344726563,53.02212143,0.136535645,49.35913086,27.55737305,6975.910645,16.37501144,8.662701607
180.3597717,8.907226563,8.870117188,9.0859375,57.11513901,0.150817871,51.45263672,28.03344727,7157.716797,16.69640732,8.030155182
180.3292999,8.900390625,8.865234375,9.0625,56.96311188,0.149047852,51.22070313,27.78930664,7150.891602,16.06500626,8.034171104
180.2683563,8.91015625,8.872070313,9.0859375,57.11513901,0.149902344,51.32446289,27.91748047,7250.067383,16.62813568,8.047997475
180.2988281,8.91796875,8.879882813,9.083984375,57.13852692,0.150695801,51.40991211,27.91137695,6986.838867,16.24025917,8.035611153
180.3292999,8.80078125,8.772460938,8.990234375,56.48364258,0.148864746,51.23901367,27.92358398,7170.070801,16.3841095,8.147153854
180.4207001,8.794921875,8.765625,8.991210938,56.49533844,0.148498535,51.15356445,27.86865234,6951.808105,16.29057884,8.144137383
180.4207001,8.806640625,8.778320313,9.002929688,56.64736557,0.148498535,51.20849609,27.91137695,7031.25,16.44926453,8.099085808
180.4207001,8.796875,8.762695313,9,56.44856262,0.149047852,51.32446289,27.95410156,7022.129395,16.36889648,8.117611885
180.4207001,8.79296875,8.760742188,8.983398438,56.56550598,0.147766113,51.00097656,27.74047852,7046.85791,16.11364174,8.102285385
180.4511719,8.7890625,8.754882813,8.9609375,56.63566971,0.146240234,50.84838867,27.6184082,7214.622559,16.04815674,8.110588074
180.3902283,8.783203125,8.75,8.969726563,56.6122818,0.146240234,50.84228516,27.63061523,7206.581543,16.08405685,8.14799881
180.4511719,8.779296875,8.748046875,8.959960938,56.48364258,0.14630127,50.83618164,27.60009766,6859.446289,15.95622253,8.114476204
180.4511719,8.768554688,8.73828125,8.947265625,56.41347885,0.145812988,50.73852539,27.5390625,7199.802734,15.87082481,8.170226097
180.4816437,8.767578125,8.737304688,8.98046875,56.27314758,0.144714355,50.57983398,27.42919922,7077.538574,15.77471924,8.178901672
180.4816437,8.744140625,8.715820313,8.954101563,56.43686676,0.143493652,50.5065918,27.36816406,7017.347168,15.58961201,8.155715942
180.4664001,8.762695313,8.732421875,8.984375,56.49533844,0.144104004,50.46386719,27.35595703,7261.42334,15.5200901,8.123716354
180.4511719,8.75,8.719726563,8.944335938,56.43686676,0.144042969,50.45166016,27.33154297,6930.70459,15.46358681,8.15066433
180.4054718,8.759765625,8.731445313,8.951171875,56.43686676,0.144348145,50.49438477,27.38647461,7087.018555,15.73824883,8.135958672
180.4359436,8.747070313,8.717773438,8.93359375,56.53042221,0.143005371,50.38452148,27.23388672,7045.991699,15.94306755,8.145277977
180.4664001,8.748046875,8.719726563,8.944335938,56.48364258,0.143615723,50.39672852,27.25219727,7326.692383,15.38482285,8.117902756
180.5273438,8.732421875,8.704101563,8.939453125,56.39009094,0.142089844,50.20751953,27.08740234,7153.878418,15.35589409,8.140564919
180.4968719,8.767578125,8.740234375,8.967773438,56.55381012,0.144287109,50.47607422,27.33764648,7247.541504,15.57309532,8.152934074
180.4359436,8.776367188,8.745117188,8.966796875,56.43686676,0.145263672,50.6652832,27.50244141,7424.75293,15.8673687,8.139299393
180.6035156,9.194335938,9.1328125,9.348632813,58.81081772,0.147949219,50.75073242,27.5390625,7305.418457,15.92633152,7.854168892
180.5882874,9.795898438,9.771484375,9.926757813,62.20217514,0.163818359,53.23486328,28.10058594,7458.789551,16.00134659,7.373693943
180.5882874,9.802734375,9.7734375,9.932617188,62.03845596,0.16607666,53.36303711,28.29589844,7241.222656,16.37950897,7.395094395
180.5578156,9.798828125,9.771484375,9.919921875,62.05014801,0.166320801,53.515625,28.36914063,7236.163574,16.7745018,7.385924816
180.5578156,9.799804688,9.7734375,9.935546875,62.01506424,0.168273926,53.61328125,28.49731445,7195.986816,16.95599747,7.400465488
180.5273438,9.798828125,9.768554688,9.93359375,61.85134506,0.16796875,53.66210938,28.54003906,7172.198242,16.95806503,7.433784962
180.4359436,9.663085938,9.587890625,9.723632813,60.72868729,0.165344238,53.44238281,28.70483398,7300.403809,17.49969482,7.543840885
180.4359436,9.657226563,9.592773438,9.745117188,60.74038315,0.165222168,53.42407227,28.65600586,7275.279297,17.32653809,7.581120968
180.4664001,9.663085938,9.58984375,9.737304688,60.69360733,0.165222168,53.47290039,28.69873047,7421.052734,17.57350922,7.562893391
180.4359436,9.651367188,9.586914063,9.752929688,60.76377106,0.165161133,53.46069336,28.68652344,7255.537109,17.18405914,7.589653492
180.4359436,9.641601563,9.53515625,9.723632813,60.65852356,0.16204834,53.13720703,28.41796875,7157.716797,16.83838272,7.568127155
180.5273438,9.647460938,9.561523438,9.711914063,60.76377106,0.162597656,52.95410156,28.37524414,7283.244629,16.76783562,7.549776077
180.5578156,9.717773438,9.751953125,9.866210938,61.78117752,0.161682129,53.00292969,28.01513672,7148.757813,16.08836174,7.423041821
180.5578156,9.725585938,9.768554688,9.887695313,61.55898666,0.161682129,52.90527344,27.94799805,7198.106934,15.86467934,7.473964691
180.5273438,9.71484375,9.76171875,9.865234375,61.72270584,0.160217285,52.83203125,27.8503418,7333.77002,15.75557804,7.444715977
180.6187439,9.721679688,9.756835938,9.8671875,61.74609756,0.160705566,52.83203125,27.90527344,7321.275391,15.744524,7.449538708
180.4359436,8.8671875,8.834960938,9.046875,56.96311188,0.14453125,50.76293945,27.6550293,7346.243164,15.76511669,8.08586216
180.3445282,8.864257813,8.826171875,9.033203125,57.08005524,0.144226074,50.65917969,27.60009766,7237.428711,15.64006233,8.086586952
180.4054718,8.865234375,8.830078125,9.016601563,57.0098877,0.144836426,50.72021484,27.56347656,7179.00293,15.92196751,8.115152359
180.4207001,8.864257813,8.833007813,9.056640625,57.04497147,0.144897461,50.67749023,27.56347656,7424.75293,15.81957245,8.105644226
180.5121155,8.853515625,8.823242188,9.010742188,56.95141602,0.143615723,50.54321289,27.47192383,7279.89209,15.58459663,8.103756905
180.4816437,8.8671875,8.83203125,9.040039063,57.12683105,0.143493652,50.48828125,27.41088867,7389.73291,15.88862896,8.049295425
180.3902283,8.873046875,8.841796875,9.065429688,57.05666733,0.144897461,50.65307617,27.62451172,7302.493652,15.76561069,8.067079544
180.3597717,8.885742188,8.849609375,9.064453125,57.04497147,0.146789551,50.88500977,27.78930664,7329.607422,15.99960232,8.096868515
180.3902283,8.85546875,8.825195313,9.022460938,56.85786438,0.146362305,51.06811523,27.9296875,7405.40918,16.52580643,8.136265755
180.3292999,8.885742188,8.848632813,9.05859375,57.08005524,0.146911621,51.11083984,27.90527344,7486.560059,16.50561523,8.11085701
180.4511719,9.76953125,9.744140625,9.904296875,61.74609756,0.16595459,53.33862305,28.31420898,7380.228516,17.04214478,7.45890522
180.4816437,9.682617188,9.704101563,9.846679688,61.18476868,0.16619873,53.54003906,28.5949707,7391.384766,17.18302917,7.503210068
180.2988281,9.634765625,9.587890625,9.74609375,60.76377106,0.164428711,53.40576172,28.61938477,7412.411621,17.35388947,7.568620205
180.3292999,9.634765625,9.608398438,9.770507813,60.81055069,0.166748047,53.52783203,28.77197266,7215.891602,17.47068787,7.565038204
180.3292999,9.620117188,9.529296875,9.696289063,60.19075012,0.167175293,53.64990234,29.01000977,7186.226074,18.02284622,7.618319988
180.2378845,9.534179688,9.444335938,9.59765625,59.875,0.163330078,53.28369141,28.83300781,7469.828613,18.07480621,7.709014893
180.2683563,9.516601563,9.426757813,9.583007813,59.67619705,0.163879395,53.29589844,28.85742188,7098.635254,18.15727615,7.738667488
180.3902283,9.466796875,9.390625,9.577148438,59.69958496,0.163024902,53.3203125,28.82080078,7437.073242,17.80774307,7.734007359
180.4511719,9.481445313,9.407226563,9.565429688,59.53586578,0.164611816,53.29589844,28.87573242,7056.811035,17.91646957,7.731659889
180.3597717,9.498046875,9.411132813,9.595703125,59.55925369,0.163269043,53.23486328,28.77197266,7133.373047,17.77240372,7.751482487
180.3902283,8.958007813,8.920898438,9.102539063,56.86955643,0.157409668,52.59399414,28.7902832,6985.091309,17.7389164,8.080286026
180.4968719,8.963867188,8.926757813,9.141601563,57.15022278,0.15447998,52.13012695,28.46069336,7210.391602,17.34936905,8.060451508
180.4968719,8.921875,8.885742188,9.081054688,57.06835938,0.150512695,51.57470703,28.0456543,7342.503418,16.4464283,8.052296638
180.3902283,8.920898438,8.881835938,9.079101563,57.10344315,0.149841309,51.48925781,27.96630859,7378.160645,16.88687134,8.077899933
180.4207001,8.942382813,8.903320313,9.111328125,56.92802811,0.15246582,51.73950195,28.14941406,7256.378418,17.05968666,8.118871689
180.5121155,9.739257813,9.791015625,9.899414063,61.79287338,0.163146973,53.02124023,27.93579102,7416.116211,15.90538502,7.467299461
